site_id,state,county,city,address,source,url,result,parcel_id,owner,operator_owner,caveat
LVLDTXXA,TX,Hockley County,Levelland,506 Avenue I,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,9029,CSL TEXAS SYSTEM LLC,yes,
LTFDTXXA,TX,Lamb County,Littlefield,600 East 5th Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,20091,CSL TEXAS SYSTEM LLC,yes,
MNCHGAXA,GA,Meriwether County,Manchester,212 2nd Street,Meriwether County layer,https://services9.arcgis.com/Xv8vRekQ4FVHSSIe/arcgis/rest/services/MeriwetherParcels/FeatureServer/0,hit,MA13   144,WINDSTREAM GEORGIA COMMUNICATIONS CORP,yes,published by an individual AGOL account; publisher unverified
MCRAGAXA,GA,Telfair County,McRae,8 East Oak Street,,,no candidate source,,,,
MMPHTXXA,TX,Hall County,Memphis,721 West Noel Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,203500,"CSL TEXAS SYSTEM, LLC",yes,
MDVLGAXA,GA,Baldwin County,Milledgeville,750 North Jefferson Street,Baldwin County layer,https://services7.arcgis.com/Da8HZMsU25Hzzob3/arcgis/rest/services/Parcels_Feb2026/FeatureServer/0,hit,M80 091,CSL GEORGIA SYSTEM LLC,yes,
MONRGAXB,GA,Walton County,Monroe,3375 GA-11,,,no candidate source,,,,
MONRGAXA,GA,Walton County,Monroe,129 East Highland Avenue,,,no candidate source,,,,
MTZMGAXA,GA,Macon County,Montezuma,111 Drayton Street,Macon County layer,https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/arcgis/rest/services/Parcels12_2018/FeatureServer/0,hit,4023G  0016,,,2018 snapshot
MNTIKYXA,KY,Wayne County,Monticello,45 Huffaker Street,,,no candidate source,,,,
LEDSALXB,AL,St. Clair County,Moody,920 Park Avenue,St. Clair County layer,https://map.stclairco.com/arcgis/rest/services/PublicParcelViewerStPln/MapServer/57,hit,2507360001048000,CSL ALABAMA SYSTEM LLC,yes,
MRHDKYXA,KY,Rowan County,Morehead,154 East 2nd Street,,,no candidate source,,,,
MLTRGAXA,GA,Colquitt County,Moultrie,216 4th Street SE,,,no candidate source,,,,
MLTRGA05,GA,Colquitt County,Moultrie,282 Industrial Drive,,,no candidate source,,,,
MTVRKYXA,KY,Rockcastle County,Mount Vernon,80 West Main St,,,no candidate source,,,,
NSVLGAXA,GA,Berrien County,Nashville,203 South Bartow Street,Berrien County layer,https://www.sgrcmaps.com/arcgis/rest/services/Berrien/TaxParcelBoundaries/MapServer/2,hit,N10     43 000,ALLTEL GEORGIA COMMUNICAT,yes,
NCVLKYXA,KY,Jessamine County,Nicholasville,105 North York Street,,,no candidate source,,,,
NCNATXXA,TX,Montague County,Nocona,117 East Oak Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,3162,CSLTEXASSYSTEMLLC,,
OLHLKYXA,KY,Carter County,Olive Hill,133 Mills Street,,,no candidate source,,,,
OWVLKYXA,KY,Bath County,OWINGSVILLE,148 Treadway Street,,,no candidate source,,,,
PECSTXXB,TX,Reeves County,Pecos,924 West Daggett Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,3227,VALOR TELECOMMUNICATIONS OF TX,yes,
PRRYGAAI,GA,Houston County,Perry,2031 US HWY 41 S,Houston County layer,https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/arcgis/rest/services/HoustonCoParcels_withOwner/FeatureServer/0,hit,P34-21-PU,,yes,
PRRYGAXA,GA,Houston County,Perry,910 Main Street,Houston County layer,https://services1.arcgis.com/Ug5xGQbHsD8zuZzM/arcgis/rest/services/HoustonCoParcels_withOwner/FeatureServer/0,hit,P4-43-PU,,yes,
PYTNTXXA,TX,Ochiltree County,Perryton,301 South Amherst Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,1485,CSL TEXAS SYSTEM LLC,yes,
PITSGAXA,GA,Wilcox County,Pitts,108 7Th Ave W,,,no candidate source,,,,
POTEOKAY,OK,Le Flore County,Poteau,201 Kerr Ave,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,400031866,OKLAHOMA ALLIED TELEPHONE,yes,
POTEOKXA,OK,Le Flore County,Poteau,310 Clayton Avenue,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,400029081,KINETIC ABS OK LLC,yes,
PRCLOKXA,OK,McClain County,Purcell,319 West Apache,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,440018925,CSL OKLAHOMA SYSTEM LLC,yes,
TRNYTXXH,TX,Walker County,Riverside,75 FRONT ST @ F.M. 980 Riverside TX 77367 US,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,14123,VALOR TELECOMMUNICATIONS OF TEXAS LP,yes,
SYMRTXXA,TX,Baylor County,Seymour,400 North Main Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,9826,"CSL TEXAS SYSTEM, LLC",yes,
SHPVKYXA,KY,Bullitt County,Sheperdsville,144 South Buckman Street,Bullitt County layer,https://wfs.schneidercorp.com/arcgis/rest/services/BullittCountyKY_WFS/MapServer/0,hit,037-N00-32-003,KINETIC ABS KY LLC,yes,
SHRDARXA,AR,Grant County,Sheridan,209 East Center,Arkansas GIS Office Planning_Cadastre/6 (statewide),https://gis.arkansas.gov/arcgis/rest/services/FEATURESERVICES/Planning_Cadastre/FeatureServer/6,hit,700-00136-000CE,KINETIC ABS AR LLC,yes,
SHDNKYXA,KY,Hardin County,SONORA,21 1st Street,Hardin County layer,https://wfs.schneidercorp.com/arcgis/rest/services/HardinCountyKY_WFS/MapServer/0,hit,193-40-02-018,,,
STWLOKXA,OK,Adair County,Stilwell,116 South 1st Street,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,010009964,"CSL OKLAHOMA SYSTEM, LLC C/O WINDSTREAM COMMUNICATIONS",yes,
SGLDTXXE,TX,Fort Bend County,Sugar Land,12626 Dairy Ashford Road,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,31503,CSL Texas System LLC,yes,
SGLDTXXD,TX,Fort Bend County,Sugar Land,1850 Austin Parkway,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,30049,CSL Texas System LLC,yes,
SWNYTXXA,TX,Brazoria County,Sweeny,202 Pecan Street,TxGIO StratMap Land Parcels (statewide),https://feature.geographic.texas.gov/arcgis/rest/services/Parcels/stratmap_land_parcels_48_most_recent/MapServer,hit,255385,CSL TEXAS SYSTEM LLC,yes,
SYVNGAXA,GA,Screven County,Sylvania,303 East Ogeechee Street,Screven County layer,https://maps.crc.ga.gov/crcarcgis/rest/services/Screven/ScrevenParcels/MapServer/0,hit,,,,Coastal Regional Commission host
TCMSOKXB,OK,Pottawatomie County,Tecumseh,112 East Park Street,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,630028864,CSL OKLAHOMA SYSTEM LLC,yes,
THTNGAXA,GA,Upson County,Thomaston,118 East Gordon Street,,,no candidate source,,,,
THTNGAXB,GA,Upson County,Thomaston,1444 Highway 19 N,,,no candidate source,,,,
VNBGKYXA,KY,Lewis County,Vanceburg,403 Fairlane Dr.,,,no candidate source,,,,
VIANOK05,OK,Sequoyah County,Vian,109 Blackstone St,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,680021935,"CSL OKLAHOMA SYSTEM, LLC C/O WINDSTREAM COMMUNICATIONS",yes,
VILNARXA,AR,Faulkner County,Vilonia,1078 Main Street,Arkansas GIS Office Planning_Cadastre/6 (statewide),https://gis.arkansas.gov/arcgis/rest/services/FEATURESERVICES/Planning_Cadastre/FeatureServer/6,hit,780-00145-002,KINETIC ABS AR LLC,yes,
WGNROKXD,OK,Wagoner County,Wagoner,Rear Of 812 E. Cherokee,OKMaps Statewide_Parcels WMS (statewide),https://okmaps.org/geoserver/wms,hit,730022131,"CSL OKLAHOMA SYSTEM, LLC C/O WINDSTREAM COMM ATTN: C. ZIHALA",yes,
WFRKARXA,AR,Washington County,West Fork,265 Wheeler Street,Arkansas GIS Office Planning_Cadastre/6 (statewide),https://gis.arkansas.gov/arcgis/rest/services/FEATURESERVICES/Planning_Cadastre/FeatureServer/6,hit,835-37823-000,WHITE RIVER TELEPHONE CO,yes,
ZNTNKYXA,KY,Bullitt County,Zoneton,135 Windy Hill Spur,Bullitt County layer,https://wfs.schneidercorp.com/arcgis/rest/services/BullittCountyKY_WFS/MapServer/0,hit,043-SE0-11-001,KINETIC ABS KY LLC,yes,
